id,price
0,757.811
1,6004.595
2,5801.858
3,1088.268
4,3291.62
5,534.726
6,1409.859
7,907.607
8,8865.26
9,682.58
10,610.963
11,3868.658
12,5737.676
13,10393.458
14,681.684
15,7474.359
16,6576.56
17,5345.821
18,8437.33
19,2242.278
20,474.058
21,705.753
22,3383.051
23,2491.823
24,992.679
25,3130.8
26,503.299
27,1814.978
28,1027.308
29,538.722
30,5341.9655
31,6039.453
32,2361.448
33,8484.979
34,694.467
35,16944.31
36,771.822
37,10119.085
38,975.19
39,962.761
40,1547.885
41,4304.526
42,12757.9785
43,2125.483
44,7937.506
45,1101.001
46,5875.039
47,2533.587
48,1142.031
49,14835.203
50,3023.1
51,13119.343
52,1336.4955
53,3121.249
54,8671.666
55,10176.807
56,1249.234
57,730.03
58,2898.0
59,8448.234
60,5811.6575
61,17177.056
62,585.758
63,9855.837
64,5000.459
65,3356.29
66,744.18
67,717.979
68,9954.92
69,2468.3055
70,6985.675
71,4453.45
72,1698.078
73,2791.672
74,8934.104
75,3877.276
76,13533.0535
77,7492.582
78,15620.088
79,5747.406
80,5018.33
81,16212.607
82,5180.566
83,8723.028
84,1022.132
85,2206.466
86,2072.455
87,3115.368
88,10061.468
89,8273.604
90,628.427
91,2943.496
92,4212.024
93,743.076
94,9774.947
95,5596.8055
96,5817.252
97,1280.604
98,778.411
99,839.881
100,2691.955
101,17409.406
102,4166.629
103,1834.0945
104,814.49
105,10842.221
106,1341.814
107,1878.581
108,4604.887
109,7911.652
110,13798.77
111,885.878
112,956.47
113,2148.206
114,3523.472
115,1037.06
116,608.174
117,9931.674
118,508.987
119,5401.615
120,1719.676
121,780.538
122,2905.668
123,717.177
124,13807.002
125,3404.243
126,6056.404
127,6663.045
128,2665.53
129,3843.964
130,546.775
131,7149.84
132,3503.916
133,12121.3785
134,1476.033
135,9851.346
136,3612.76
137,4014.71
138,713.132
139,4126.507
140,6847.755
141,8250.972
142,3452.758
143,914.6305
144,1089.497
145,7864.824
146,1058.512
147,501.676
148,3335.339
149,8354.612
150,5249.402
151,5076.122
152,1362.394
153,5515.876
154,2195.29
155,4841.016
156,7126.038
157,496.393
158,10099.756
159,16886.264
160,1879.756
161,5307.637
162,10360.741
163,994.657
164,479.577
165,6393.708
166,810.361
167,898.249
168,1608.42
169,3644.927
170,1276.356
171,12078.264
172,967.648
173,13750.855
174,2256.5005
175,2685.103
176,6495.509
177,773.396
178,3476.266
179,2523.007
180,7010.99
181,7179.145
182,3222.945
183,1049.661
184,2327.754
185,1772.643
186,15411.664
187,1213.439
188,1706.161
189,979.719
190,2860.293
191,6516.596
192,810.12
193,3557.212
194,2821.526
195,6101.9475
196,1979.924
197,950.686
198,4246.372
199,2201.865
200,972.933
201,3812.271
202,770.37
203,1176.101
204,2974.079
